number,name,comb
754,25118,3.49965000035e-07
755,248588,4.9500000005e-11
756,354413,0.0
757,3392399,9.27273600093e-06
758,366729,1.62657000016e-07
759,123146,1.31571000013e-05
760,1576717,0.0
761,275488,8.0338500008e-08
762,10710730,0.0
763,20070196,4.45500000045e-10
764,11009478,0.0
765,59816699,1.9879200002e-07
766,371147,2.52450000025e-09
767,164075,0.000321264900032
768,666999,5.38065000054e-08
769,534118,7.52400000075e-07
770,397787,4.9500000005e-11
771,167882,1.25136000013e-07
772,10261243,5.79150000058e-09
773,141611,1.06078500011e-07
774,3996803,6.43500000064e-10
775,3588542,0.0
776,3139446,0.0
777,17763981,6.33055500063e-07
778,56609627,0.0
779,208280,7.22700000072e-09
780,58308954,1.58202000016e-07
781,391818,6.42510000064e-08
782,128488,1.33650000013e-09
783,148414,8.06850000081e-09
784,67279810,1.54440000015e-08
785,4151887,0.0
786,55661,2.0151450002e-07
787,63542,0.0
788,302483,6.55380000066e-08
789,12660549,2.47500000025e-10
790,2087460,9.45450000095e-09
791,41567,1.50351300015e-06
792,15396,2.47401000025e-07
793,666050,6.37362000064e-07
794,14274537,0.0
795,272860,0.0
796,473635,1.23750000012e-09
797,1916818,0.0
798,402789,9.90000000099e-09
799,570138,7.9695000008e-09
800,70607745,4.35600000044e-09
801,56870,4.33125000043e-06
802,80274,0.0
803,67859,0.0176390013213
804,286012,0.0
805,2785539,5.44500000054e-08
806,44974,1.0366290001e-06
807,18596142,0.0
808,532330,0.0
809,59864555,1.0433610001e-05
810,20459737,0.0
811,422868,2.0453400002e-07
812,202688,6.28650000063e-09
813,79218,3.66300000037e-08
814,23676872,2.62053000026e-05
815,3618990,1.9797525002e-06
816,10797,0.563755014956
817,20365104,0.0
818,10015936,1.08850500011e-07
819,94418,5.59350000056e-09
820,401630,1.67805000017e-08
821,22482861,5.44500000054e-09
822,903525,0.0
823,11298258,1.23750000012e-09
824,2153692,0.0
825,724751,0.00221212530022
826,356258,0.0
827,476927,1.57905000016e-08
828,531280,7.92000000079e-09
829,11094579,7.37550000074e-09
830,2736374,3.66300000037e-09
831,362841,3.46500000035e-10
832,195588,1.33650000013e-09
833,69591542,9.94950000099e-07
834,327187,1.83150000018e-09
835,123160,6.93000000069e-10
836,1399674,0.0
837,13864928,5.87045250059e-06
838,2056308,1.78200000018e-09
839,32849,0.0
840,108158,0.0
841,66283,2.82150000028e-09
842,472696,1.52361000015e-07
843,3534951,0.0
844,59068667,1.92802500019e-07
845,322754,4.50450000045e-09
846,57616924,9.90000000099e-09
847,59337627,5.34600000053e-09
848,1284209,3.75705000038e-08
849,397940,2.9700000003e-10
850,653220,4.48965000045e-08
851,87872,0.0
852,236770,2.0191050002e-05
853,7018524,5.09850000051e-09
854,3828,5.55390000056e-06
855,61391,0.0
856,330403,5.44500000054e-10
857,6847048,6.23011950062e-06
858,6518,0.0
859,27235,5.54400000055e-09
860,1056593,0.0
861,59818347,0.000705860050571
862,64342,7.22700000072e-09
863,392233,3.9600000004e-10
864,11108401,4.9500000005e-11
865,149321,8.31600000083e-07
866,4703,1.0048153501e-05
867,435005,9.16942950092e-06
868,119083,3.0432501003e-05
869,88796,0.000151499403015
870,93113,8.40163500084e-07
871,180328,4.9500000005e-11
872,379130,5.25690000053e-08
873,142765,3.41550000034e-09
874,28852,4.9500000005e-10
875,186169,0.0
876,222105,1.78249500018e-07
877,10098093,4.9500000005e-11
878,10366821,1.50282000015e-07
879,6102,1.43550000014e-09
880,180257,1.05435000011e-08
881,326123,6.38451000064e-05
882,541253,0.0
883,52296,9.15750000092e-09
884,3621115,1.48500000015e-10
885,348665,0.0
886,70572,7.27650000073e-09
887,11139,0.0218532600022
888,47906,2.71458000027e-07
889,1140936,9.25650000093e-09
890,10035566,0.0118062549012
891,124437,1.83150000018e-09
892,163837,0.000328887454533
893,83996,7.92000000079e-06
894,2781673,4.05900000041e-09
895,10801490,7.92000000079e-09
896,1261253,2.66310000027e-08
897,25144474,0.0
898,2742797,1.9800000002e-10
899,11139035,0.0
900,345481,0.0
901,394852,0.0
902,217869,1.88100000019e-07
903,3701070,0.0
904,530244,0.0
905,43638,9.40500000094e-10
906,345265,4.9500000005e-11
907,23799,4.9500000005e-10
908,3005346,1.65726000017e-07
909,34576,8.76150000088e-09
910,383669,3.77685000038e-08
911,1333693,0.0
912,19876462,2.34729000023e-05
913,11026681,0.0
914,52383,3.46500000035e-07
915,143467,7.42500000074e-10
916,340812,0.0
917,78080,9.10800000091e-09
918,247536,7.17750000072e-09
919,39964,8.0239500008e-08
